Region,Dish,Main_Ingredient,Diet,Flavor,Occasion
South,Sambar,Lentils & Veg,Non-Veg,Sweet,Special
North,Butter Chicken,Chicken,Non-Veg,Mild,Festive
South,Dosa,Rice & Urad Dal,Veg,Mild,Daily
East,Pakhala,Fermented Rice,Non-Veg,Mild,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Street Food
East,Chhena Poda,Chhena,Non-Veg,Spicy,Special
Northeast,Smoked Pork,Pork,Non-Veg,Spicy,Daily
East,Rasgulla,Chhena,Non-Veg,Mild,Street Food
South,Idli,Rice & Urad Dal,Veg,Mild,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Spicy,Street Food
Northeast,Thukpa,Noodles & Broth,Non-Veg,Sweet,Street Food
Northeast,Jadoh,Rice & Meat,Non-Veg,Sweet,Special
South,Sambar,Lentils & Veg,Non-Veg,Mild,Street Food
East,Rasgulla,Chhena,Non-Veg,Spicy,Daily
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Festive
Northeast,Smoked Pork,Pork,Non-Veg,Tangy,Daily
East,Momo,Flour & Veg/Meat,Non-Veg,Spicy,Street Food
East,Momo,Flour & Veg/Meat,Non-Veg,Mild,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Spicy,Street Food
North,Rajma,Kidney Beans,Non-Veg,Tangy,Special
South,Sambar,Lentils & Veg,Non-Veg,Tangy,Street Food
West,Dhokla,Gram Flour,Veg,Spicy,Festive
Northeast,Smoked Pork,Pork,Non-Veg,Mild,Daily
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Spicy,Special
West,Bajra Roti,Pearl Millet,Veg,Tangy,Special
South,Vada,Lentils,Veg,Tangy,Daily
North,Rajma,Kidney Beans,Non-Veg,Mild,Special
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Daily
North,Butter Chicken,Chicken,Non-Veg,Sweet,Daily
Central,Baigan Bharta,Brinjal,Non-Veg,Spicy,Daily
East,Ghugni,Peas,Non-Veg,Spicy,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Mild,Special
South,Vada,Lentils,Veg,Spicy,Festive
North,Butter Chicken,Chicken,Non-Veg,Mild,Festive
East,Rasgulla,Chhena,Non-Veg,Tangy,Festive
North,Butter Chicken,Chicken,Non-Veg,Spicy,Daily
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Tangy,Festive
South,Idli,Rice & Urad Dal,Veg,Tangy,Festive
South,Dosa,Rice & Urad Dal,Veg,Spicy,Festive
Northeast,Thukpa,Noodles & Broth,Non-Veg,Spicy,Special
South,Idli,Rice & Urad Dal,Veg,Mild,Street Food
South,Idli,Rice & Urad Dal,Veg,Mild,Street Food
South,Idli,Rice & Urad Dal,Veg,Sweet,Special
North,Paneer Tikka,Paneer,Veg,Spicy,Street Food
East,Momo,Flour & Veg/Meat,Non-Veg,Mild,Festive
North,Chole,Chickpeas,Veg,Tangy,Special
South,Sambar,Lentils & Veg,Non-Veg,Mild,Special
Central,Sabudana Khichdi,Sago,Non-Veg,Sweet,Street Food
East,Chhena Poda,Chhena,Non-Veg,Tangy,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Daily
East,Momo,Flour & Veg/Meat,Non-Veg,Tangy,Daily
Central,Sabudana Khichdi,Sago,Non-Veg,Mild,Daily
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Festive
Northeast,Smoked Pork,Pork,Non-Veg,Mild,Street Food
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Spicy,Special
Northeast,Jadoh,Rice & Meat,Non-Veg,Sweet,Special
East,Chhena Poda,Chhena,Non-Veg,Mild,Daily
South,Vada,Lentils,Veg,Mild,Festive
North,Paneer Tikka,Paneer,Veg,Sweet,Special
South,Vada,Lentils,Veg,Sweet,Festive
Northeast,Thukpa,Noodles & Broth,Non-Veg,Sweet,Special
North,Naan,Wheat Flour,Non-Veg,Sweet,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Spicy,Special
West,Misal,Sprouts & Spices,Non-Veg,Mild,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Spicy,Street Food
North,Butter Chicken,Chicken,Non-Veg,Mild,Festive
South,Sambar,Lentils & Veg,Non-Veg,Mild,Street Food
South,Sambar,Lentils & Veg,Non-Veg,Mild,Street Food
South,Vada,Lentils,Veg,Sweet,Daily
Central,Baigan Bharta,Brinjal,Non-Veg,Tangy,Street Food
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Tangy,Festive
North,Paneer Tikka,Paneer,Veg,Mild,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Tangy,Daily
Central,Dal Bafla,Lentils & Wheat,Veg,Sweet,Festive
Northeast,Jadoh,Rice & Meat,Non-Veg,Spicy,Daily
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Spicy,Street Food
Central,Bhutte Ka Kees,Grated Corn,Non-Veg,Tangy,Daily
Central,Bhutte Ka Kees,Grated Corn,Non-Veg,Sweet,Festive
North,Butter Chicken,Chicken,Non-Veg,Mild,Street Food
Northeast,Jadoh,Rice & Meat,Non-Veg,Sweet,Festive
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Street Food
East,Pakhala,Fermented Rice,Non-Veg,Sweet,Daily
Central,Dal Bafla,Lentils & Wheat,Veg,Spicy,Daily
West,Dhokla,Gram Flour,Veg,Spicy,Festive
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Tangy,Festive
North,Butter Chicken,Chicken,Non-Veg,Tangy,Festive
East,Ghugni,Peas,Non-Veg,Sweet,Festive
West,Bajra Roti,Pearl Millet,Veg,Spicy,Festive
West,Misal,Sprouts & Spices,Non-Veg,Sweet,Street Food
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Sweet,Festive
West,Thepla,Wheat & Fenugreek,Non-Veg,Mild,Daily
North,Naan,Wheat Flour,Non-Veg,Tangy,Daily
Northeast,Thukpa,Noodles & Broth,Non-Veg,Sweet,Street Food
Central,Baigan Bharta,Brinjal,Non-Veg,Spicy,Street Food
Northeast,Thukpa,Noodles & Broth,Non-Veg,Spicy,Street Food
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Mild,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Tangy,Street Food
East,Pakhala,Fermented Rice,Non-Veg,Spicy,Daily
Northeast,Thukpa,Noodles & Broth,Non-Veg,Sweet,Street Food
East,Pakhala,Fermented Rice,Non-Veg,Sweet,Special
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Sweet,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Tangy,Special
South,Idli,Rice & Urad Dal,Veg,Tangy,Street Food
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Spicy,Street Food
Northeast,Jadoh,Rice & Meat,Non-Veg,Sweet,Daily
South,Dosa,Rice & Urad Dal,Veg,Sweet,Street Food
South,Vada,Lentils,Veg,Mild,Daily
South,Idli,Rice & Urad Dal,Veg,Spicy,Daily
North,Butter Chicken,Chicken,Non-Veg,Sweet,Special
North,Butter Chicken,Chicken,Non-Veg,Spicy,Festive
East,Ghugni,Peas,Non-Veg,Tangy,Festive
North,Chole,Chickpeas,Veg,Mild,Special
South,Idli,Rice & Urad Dal,Veg,Tangy,Daily
North,Rajma,Kidney Beans,Non-Veg,Spicy,Festive
Northeast,Thukpa,Noodles & Broth,Non-Veg,Spicy,Festive
North,Paneer Tikka,Paneer,Veg,Tangy,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Street Food
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Festive
North,Paneer Tikka,Paneer,Veg,Spicy,Street Food
North,Rajma,Kidney Beans,Non-Veg,Spicy,Street Food
North,Butter Chicken,Chicken,Non-Veg,Mild,Street Food
Northeast,Smoked Pork,Pork,Non-Veg,Tangy,Festive
North,Rajma,Kidney Beans,Non-Veg,Spicy,Special
North,Paneer Tikka,Paneer,Veg,Tangy,Daily
South,Vada,Lentils,Veg,Sweet,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Daily
North,Paneer Tikka,Paneer,Veg,Spicy,Daily
South,Sambar,Lentils & Veg,Non-Veg,Spicy,Festive
South,Dosa,Rice & Urad Dal,Veg,Tangy,Festive
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Sweet,Special
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Tangy,Street Food
Central,Dal Bafla,Lentils & Wheat,Veg,Tangy,Street Food
East,Ghugni,Peas,Non-Veg,Spicy,Street Food
East,Ghugni,Peas,Non-Veg,Tangy,Street Food
North,Butter Chicken,Chicken,Non-Veg,Sweet,Street Food
West,Bajra Roti,Pearl Millet,Veg,Spicy,Daily
East,Pakhala,Fermented Rice,Non-Veg,Mild,Festive
West,Bajra Roti,Pearl Millet,Veg,Tangy,Daily
East,Ghugni,Peas,Non-Veg,Sweet,Special
East,Pakhala,Fermented Rice,Non-Veg,Tangy,Daily
South,Idli,Rice & Urad Dal,Veg,Spicy,Festive
West,Thepla,Wheat & Fenugreek,Non-Veg,Spicy,Daily
East,Chhena Poda,Chhena,Non-Veg,Mild,Street Food
Northeast,Thukpa,Noodles & Broth,Non-Veg,Mild,Festive
South,Sambar,Lentils & Veg,Non-Veg,Tangy,Special
Central,Bhutte Ka Kees,Grated Corn,Non-Veg,Tangy,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Street Food
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Special
North,Chole,Chickpeas,Veg,Spicy,Street Food
South,Idli,Rice & Urad Dal,Veg,Spicy,Festive
South,Dosa,Rice & Urad Dal,Veg,Mild,Street Food
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Special
East,Chhena Poda,Chhena,Non-Veg,Tangy,Street Food
South,Dosa,Rice & Urad Dal,Veg,Mild,Street Food
West,Thepla,Wheat & Fenugreek,Non-Veg,Spicy,Street Food
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Sweet,Festive
East,Chhena Poda,Chhena,Non-Veg,Mild,Festive
Northeast,Thukpa,Noodles & Broth,Non-Veg,Mild,Special
Northeast,Smoked Pork,Pork,Non-Veg,Tangy,Street Food
East,Pakhala,Fermented Rice,Non-Veg,Spicy,Daily
Northeast,Jadoh,Rice & Meat,Non-Veg,Spicy,Daily
North,Chole,Chickpeas,Veg,Tangy,Street Food
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Daily
Central,Baigan Bharta,Brinjal,Non-Veg,Sweet,Festive
North,Paneer Tikka,Paneer,Veg,Sweet,Special
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Tangy,Daily
Central,Dal Bafla,Lentils & Wheat,Veg,Tangy,Street Food
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Festive
North,Butter Chicken,Chicken,Non-Veg,Sweet,Festive
North,Paneer Tikka,Paneer,Veg,Mild,Festive
West,Bajra Roti,Pearl Millet,Veg,Spicy,Special
South,Sambar,Lentils & Veg,Non-Veg,Spicy,Special
East,Ghugni,Peas,Non-Veg,Tangy,Daily
South,Vada,Lentils,Veg,Mild,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Daily
Central,Dal Bafla,Lentils & Wheat,Veg,Sweet,Special
South,Dosa,Rice & Urad Dal,Veg,Sweet,Daily
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Tangy,Daily
West,Thepla,Wheat & Fenugreek,Non-Veg,Tangy,Festive
Northeast,Jadoh,Rice & Meat,Non-Veg,Sweet,Street Food
North,Chole,Chickpeas,Veg,Mild,Daily
North,Butter Chicken,Chicken,Non-Veg,Spicy,Special
West,Misal,Sprouts & Spices,Non-Veg,Sweet,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Sweet,Special
East,Ghugni,Peas,Non-Veg,Tangy,Special
West,Dhokla,Gram Flour,Veg,Spicy,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Daily
South,Dosa,Rice & Urad Dal,Veg,Spicy,Special
West,Misal,Sprouts & Spices,Non-Veg,Mild,Festive
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Spicy,Street Food
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Mild,Festive
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Festive
North,Rajma,Kidney Beans,Non-Veg,Sweet,Street Food
West,Thepla,Wheat & Fenugreek,Non-Veg,Tangy,Daily
Central,Sabudana Khichdi,Sago,Non-Veg,Mild,Street Food
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Spicy,Special
South,Sambar,Lentils & Veg,Non-Veg,Sweet,Festive
South,Idli,Rice & Urad Dal,Veg,Spicy,Street Food
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Daily
Central,Sabudana Khichdi,Sago,Non-Veg,Tangy,Street Food
West,Dhokla,Gram Flour,Veg,Sweet,Festive
East,Pakhala,Fermented Rice,Non-Veg,Sweet,Daily
East,Pakhala,Fermented Rice,Non-Veg,Mild,Special
South,Idli,Rice & Urad Dal,Veg,Spicy,Daily
North,Naan,Wheat Flour,Non-Veg,Mild,Festive
West,Dhokla,Gram Flour,Veg,Mild,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Tangy,Street Food
East,Momo,Flour & Veg/Meat,Non-Veg,Mild,Festive
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Tangy,Festive
West,Bajra Roti,Pearl Millet,Veg,Tangy,Special
West,Bajra Roti,Pearl Millet,Veg,Sweet,Daily
West,Thepla,Wheat & Fenugreek,Non-Veg,Spicy,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Sweet,Daily
South,Sambar,Lentils & Veg,Non-Veg,Sweet,Street Food
East,Ghugni,Peas,Non-Veg,Sweet,Daily
South,Dosa,Rice & Urad Dal,Veg,Mild,Daily
East,Pakhala,Fermented Rice,Non-Veg,Spicy,Street Food
North,Paneer Tikka,Paneer,Veg,Spicy,Street Food
Northeast,Thukpa,Noodles & Broth,Non-Veg,Tangy,Daily
Central,Sabudana Khichdi,Sago,Non-Veg,Sweet,Special
West,Dhokla,Gram Flour,Veg,Tangy,Special
North,Naan,Wheat Flour,Non-Veg,Sweet,Special
West,Bajra Roti,Pearl Millet,Veg,Tangy,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Sweet,Festive
West,Bajra Roti,Pearl Millet,Veg,Sweet,Street Food
East,Chhena Poda,Chhena,Non-Veg,Mild,Daily
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Festive
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Street Food
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Street Food
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Spicy,Festive
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Mild,Festive
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Festive
Northeast,Rice Beer,Fermented Rice,Non-Veg,Spicy,Street Food
North,Butter Chicken,Chicken,Non-Veg,Sweet,Street Food
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Street Food
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Mild,Special
South,Sambar,Lentils & Veg,Non-Veg,Tangy,Special
South,Vada,Lentils,Veg,Spicy,Festive
West,Bajra Roti,Pearl Millet,Veg,Mild,Daily
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Spicy,Festive
North,Rajma,Kidney Beans,Non-Veg,Tangy,Festive
North,Rajma,Kidney Beans,Non-Veg,Mild,Special
Northeast,Thukpa,Noodles & Broth,Non-Veg,Mild,Daily
South,Sambar,Lentils & Veg,Non-Veg,Tangy,Festive
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Sweet,Daily
East,Momo,Flour & Veg/Meat,Non-Veg,Sweet,Festive
West,Bajra Roti,Pearl Millet,Veg,Sweet,Festive
West,Dhokla,Gram Flour,Veg,Sweet,Festive
Northeast,Thukpa,Noodles & Broth,Non-Veg,Sweet,Street Food
North,Naan,Wheat Flour,Non-Veg,Sweet,Special
East,Momo,Flour & Veg/Meat,Non-Veg,Spicy,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Daily
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Tangy,Street Food
East,Rasgulla,Chhena,Non-Veg,Tangy,Street Food
East,Pakhala,Fermented Rice,Non-Veg,Spicy,Festive
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Street Food
West,Dhokla,Gram Flour,Veg,Sweet,Special
North,Rajma,Kidney Beans,Non-Veg,Mild,Street Food
South,Vada,Lentils,Veg,Spicy,Special
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Mild,Festive
North,Rajma,Kidney Beans,Non-Veg,Mild,Street Food
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Festive
West,Misal,Sprouts & Spices,Non-Veg,Sweet,Special
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Spicy,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Sweet,Daily
North,Chole,Chickpeas,Veg,Sweet,Festive
North,Paneer Tikka,Paneer,Veg,Mild,Special
South,Dosa,Rice & Urad Dal,Veg,Mild,Daily
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Special
East,Momo,Flour & Veg/Meat,Non-Veg,Tangy,Festive
East,Pakhala,Fermented Rice,Non-Veg,Tangy,Daily
North,Butter Chicken,Chicken,Non-Veg,Spicy,Street Food
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Spicy,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Street Food
Central,Sabudana Khichdi,Sago,Non-Veg,Spicy,Daily
West,Bajra Roti,Pearl Millet,Veg,Spicy,Daily
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Spicy,Street Food
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Mild,Street Food
East,Chhena Poda,Chhena,Non-Veg,Spicy,Daily
East,Ghugni,Peas,Non-Veg,Spicy,Festive
East,Rasgulla,Chhena,Non-Veg,Sweet,Festive
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Sweet,Festive
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Mild,Special
North,Butter Chicken,Chicken,Non-Veg,Spicy,Street Food
North,Butter Chicken,Chicken,Non-Veg,Tangy,Street Food
South,Idli,Rice & Urad Dal,Veg,Sweet,Festive
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Tangy,Daily
East,Rasgulla,Chhena,Non-Veg,Mild,Festive
Northeast,Thukpa,Noodles & Broth,Non-Veg,Tangy,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Daily
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Spicy,Daily
Central,Bhutte Ka Kees,Grated Corn,Non-Veg,Mild,Festive
North,Butter Chicken,Chicken,Non-Veg,Sweet,Special
East,Rasgulla,Chhena,Non-Veg,Spicy,Daily
West,Bajra Roti,Pearl Millet,Veg,Tangy,Special
South,Vada,Lentils,Veg,Mild,Festive
Central,Baigan Bharta,Brinjal,Non-Veg,Mild,Special
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Mild,Daily
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Festive
West,Dhokla,Gram Flour,Veg,Sweet,Street Food
West,Bajra Roti,Pearl Millet,Veg,Mild,Street Food
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Mild,Daily
East,Chhena Poda,Chhena,Non-Veg,Tangy,Street Food
North,Paneer Tikka,Paneer,Veg,Mild,Special
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Daily
Central,Baigan Bharta,Brinjal,Non-Veg,Sweet,Special
East,Ghugni,Peas,Non-Veg,Tangy,Daily
North,Rajma,Kidney Beans,Non-Veg,Mild,Street Food
West,Dhokla,Gram Flour,Veg,Sweet,Special
East,Rasgulla,Chhena,Non-Veg,Spicy,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Spicy,Festive
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Tangy,Special
East,Chhena Poda,Chhena,Non-Veg,Sweet,Street Food
North,Chole,Chickpeas,Veg,Tangy,Festive
North,Butter Chicken,Chicken,Non-Veg,Spicy,Daily
South,Vada,Lentils,Veg,Spicy,Street Food
North,Naan,Wheat Flour,Non-Veg,Mild,Festive
East,Ghugni,Peas,Non-Veg,Sweet,Festive
East,Pakhala,Fermented Rice,Non-Veg,Sweet,Daily
South,Vada,Lentils,Veg,Spicy,Festive
Northeast,Rice Beer,Fermented Rice,Non-Veg,Spicy,Festive
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Tangy,Daily
South,Sambar,Lentils & Veg,Non-Veg,Mild,Street Food
South,Vada,Lentils,Veg,Spicy,Special
North,Butter Chicken,Chicken,Non-Veg,Mild,Festive
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Tangy,Special
North,Butter Chicken,Chicken,Non-Veg,Tangy,Festive
West,Bajra Roti,Pearl Millet,Veg,Mild,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Mild,Daily
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Sweet,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Tangy,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Spicy,Festive
Central,Litti Chokha,Wheat & Brinjal,Non-Veg,Spicy,Festive
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Tangy,Daily
South,Vada,Lentils,Veg,Spicy,Festive
West,Thepla,Wheat & Fenugreek,Non-Veg,Spicy,Street Food
Central,Dal Bafla,Lentils & Wheat,Veg,Tangy,Special
East,Chhena Poda,Chhena,Non-Veg,Tangy,Street Food
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Mild,Special
Central,Bhutte Ka Kees,Grated Corn,Non-Veg,Spicy,Daily
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Spicy,Street Food
South,Biryani,Rice & Meat/Vegetables,Non-Veg,Tangy,Festive
East,Rasgulla,Chhena,Non-Veg,Spicy,Festive
West,Dhokla,Gram Flour,Veg,Spicy,Festive
North,Chole,Chickpeas,Veg,Spicy,Special
South,Dosa,Rice & Urad Dal,Veg,Sweet,Daily
North,Rajma,Kidney Beans,Non-Veg,Tangy,Festive
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Tangy,Daily
East,Momo,Flour & Veg/Meat,Non-Veg,Sweet,Daily
North,Rajma,Kidney Beans,Non-Veg,Mild,Daily
Central,Dal Bafla,Lentils & Wheat,Veg,Spicy,Daily
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Daily
North,Chole,Chickpeas,Veg,Mild,Daily
East,Ghugni,Peas,Non-Veg,Sweet,Daily
West,Misal,Sprouts & Spices,Non-Veg,Sweet,Daily
East,Rasgulla,Chhena,Non-Veg,Sweet,Festive
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Street Food
West,Misal,Sprouts & Spices,Non-Veg,Mild,Street Food
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Daily
East,Ghugni,Peas,Non-Veg,Spicy,Special
South,Sambar,Lentils & Veg,Non-Veg,Mild,Festive
South,Dosa,Rice & Urad Dal,Veg,Tangy,Daily
East,Chhena Poda,Chhena,Non-Veg,Spicy,Daily
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Mild,Street Food
West,Dhokla,Gram Flour,Veg,Sweet,Daily
East,Rasgulla,Chhena,Non-Veg,Spicy,Street Food
East,Chhena Poda,Chhena,Non-Veg,Mild,Special
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Special
Northeast,Jadoh,Rice & Meat,Non-Veg,Tangy,Street Food
North,Chole,Chickpeas,Veg,Mild,Special
West,Misal,Sprouts & Spices,Non-Veg,Mild,Street Food
East,Ghugni,Peas,Non-Veg,Sweet,Street Food
South,Vada,Lentils,Veg,Tangy,Daily
North,Butter Chicken,Chicken,Non-Veg,Spicy,Street Food
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Street Food
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Daily
Central,Sabudana Khichdi,Sago,Non-Veg,Tangy,Festive
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Mild,Street Food
North,Naan,Wheat Flour,Non-Veg,Sweet,Festive
Northeast,Jadoh,Rice & Meat,Non-Veg,Mild,Special
West,Thepla,Wheat & Fenugreek,Non-Veg,Sweet,Street Food
East,Ghugni,Peas,Non-Veg,Spicy,Street Food
North,Butter Chicken,Chicken,Non-Veg,Spicy,Special
South,Idli,Rice & Urad Dal,Veg,Mild,Daily
Northeast,Smoked Pork,Pork,Non-Veg,Spicy,Special
Northeast,Thukpa,Noodles & Broth,Non-Veg,Tangy,Daily
South,Vada,Lentils,Veg,Tangy,Special
North,Paneer Tikka,Paneer,Veg,Mild,Street Food
West,Misal,Sprouts & Spices,Non-Veg,Spicy,Festive
South,Vada,Lentils,Veg,Tangy,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Tangy,Festive
West,Thepla,Wheat & Fenugreek,Non-Veg,Mild,Festive
Northeast,Smoked Pork,Pork,Non-Veg,Tangy,Daily
North,Paneer Tikka,Paneer,Veg,Sweet,Daily
South,Vada,Lentils,Veg,Spicy,Street Food
