City,State,Region,Primary_Language,Script
City_1,Gujarat,West,Gujarati,Gujarati
City_2,Manipur,Northeast,Meitei,Meitei Mayek
City_3,Madhya Pradesh,Central,Hindi,Devanagari
City_4,Telangana,South,Telugu,Telugu
City_5,Punjab,North,Punjabi,Gurmukhi
City_6,Nagaland,Northeast,English,Latin
City_7,Gujarat,West,Gujarati,Gujarati
City_8,Chhattisgarh,Central,Hindi,Devanagari
City_9,Tripura,Northeast,Bengali,Bengali
City_10,Sikkim,Northeast,Nepali,Devanagari
City_11,Telangana,South,Telugu,Telugu
City_12,Telangana,South,Telugu,Telugu
City_13,Meghalaya,Northeast,Khasi,Latin
City_14,Nagaland,Northeast,English,Latin
City_15,Karnataka,South,Kannada,Kannada
City_16,Punjab,North,Punjabi,Gurmukhi
City_17,Meghalaya,Northeast,Khasi,Latin
City_18,West Bengal,East,Bengali,Bengali
City_19,Mizoram,Northeast,Mizo,Latin
City_20,Nagaland,Northeast,English,Latin
City_21,Maharashtra,West,Marathi,Devanagari
City_22,Meghalaya,Northeast,Khasi,Latin
City_23,Andhra Pradesh,South,Telugu,Telugu
City_24,Kerala,South,Malayalam,Malayalam
City_25,Maharashtra,West,Marathi,Devanagari
City_26,Nagaland,Northeast,English,Latin
City_27,Tamil Nadu,South,Tamil,Tamil
City_28,Andhra Pradesh,South,Telugu,Telugu
City_29,Chhattisgarh,Central,Hindi,Devanagari
City_30,Mizoram,Northeast,Mizo,Latin
City_31,Andhra Pradesh,South,Telugu,Telugu
City_32,Goa,West,Konkani,Devanagari
City_33,Himachal Pradesh,North,Hindi,Devanagari
City_34,Assam,Northeast,Assamese,Bengali
City_35,Jharkhand,East,Hindi,Devanagari
City_36,Madhya Pradesh,Central,Hindi,Devanagari
City_37,Madhya Pradesh,Central,Hindi,Devanagari
City_38,Tripura,Northeast,Bengali,Bengali
City_39,Andhra Pradesh,South,Telugu,Telugu
City_40,Sikkim,Northeast,Nepali,Devanagari
City_41,Manipur,Northeast,Meitei,Meitei Mayek
City_42,Goa,West,Konkani,Devanagari
City_43,West Bengal,East,Bengali,Bengali
City_44,Uttar Pradesh,North,Hindi,Devanagari
City_45,Tripura,Northeast,Bengali,Bengali
City_46,Gujarat,West,Gujarati,Gujarati
City_47,Nagaland,Northeast,English,Latin
City_48,Odisha,East,Odia,Odia
City_49,Gujarat,West,Gujarati,Gujarati
City_50,Uttarakhand,North,Hindi,Devanagari
City_51,Karnataka,South,Kannada,Kannada
City_52,Goa,West,Konkani,Devanagari
City_53,Rajasthan,North,Hindi,Devanagari
City_54,Uttarakhand,North,Hindi,Devanagari
City_55,Chhattisgarh,Central,Hindi,Devanagari
City_56,Odisha,East,Odia,Odia
City_57,Chhattisgarh,Central,Hindi,Devanagari
City_58,Nagaland,Northeast,English,Latin
City_59,Maharashtra,West,Marathi,Devanagari
City_60,Manipur,Northeast,Meitei,Meitei Mayek
City_61,Madhya Pradesh,Central,Hindi,Devanagari
City_62,Gujarat,West,Gujarati,Gujarati
City_63,Andhra Pradesh,South,Telugu,Telugu
City_64,Punjab,North,Punjabi,Gurmukhi
City_65,Madhya Pradesh,Central,Hindi,Devanagari
City_66,West Bengal,East,Bengali,Bengali
City_67,Rajasthan,North,Hindi,Devanagari
City_68,Himachal Pradesh,North,Hindi,Devanagari
City_69,Karnataka,South,Kannada,Kannada
City_70,Uttarakhand,North,Hindi,Devanagari
City_71,Punjab,North,Punjabi,Gurmukhi
City_72,Karnataka,South,Kannada,Kannada
City_73,Maharashtra,West,Marathi,Devanagari
City_74,Kerala,South,Malayalam,Malayalam
City_75,Mizoram,Northeast,Mizo,Latin
City_76,Assam,Northeast,Assamese,Bengali
City_77,Karnataka,South,Kannada,Kannada
City_78,Mizoram,Northeast,Mizo,Latin
City_79,Uttarakhand,North,Hindi,Devanagari
City_80,Chhattisgarh,Central,Hindi,Devanagari
City_81,Andhra Pradesh,South,Telugu,Telugu
City_82,Maharashtra,West,Marathi,Devanagari
City_83,Assam,Northeast,Assamese,Bengali
City_84,Karnataka,South,Kannada,Kannada
City_85,Rajasthan,North,Hindi,Devanagari
City_86,Jharkhand,East,Hindi,Devanagari
City_87,Madhya Pradesh,Central,Hindi,Devanagari
City_88,Punjab,North,Punjabi,Gurmukhi
City_89,Rajasthan,North,Hindi,Devanagari
City_90,Sikkim,Northeast,Nepali,Devanagari
City_91,Goa,West,Konkani,Devanagari
City_92,Punjab,North,Punjabi,Gurmukhi
City_93,Nagaland,Northeast,English,Latin
City_94,Jharkhand,East,Hindi,Devanagari
City_95,Bihar,East,Hindi,Devanagari
City_96,Uttarakhand,North,Hindi,Devanagari
City_97,Madhya Pradesh,Central,Hindi,Devanagari
City_98,Nagaland,Northeast,English,Latin
City_99,Meghalaya,Northeast,Khasi,Latin
City_100,Chhattisgarh,Central,Hindi,Devanagari
City_101,Goa,West,Konkani,Devanagari
City_102,Bihar,East,Hindi,Devanagari
City_103,Odisha,East,Odia,Odia
City_104,Madhya Pradesh,Central,Hindi,Devanagari
City_105,Bihar,East,Hindi,Devanagari
City_106,Tamil Nadu,South,Tamil,Tamil
City_107,Goa,West,Konkani,Devanagari
City_108,Gujarat,West,Gujarati,Gujarati
City_109,Odisha,East,Odia,Odia
City_110,Meghalaya,Northeast,Khasi,Latin
City_111,Tamil Nadu,South,Tamil,Tamil
City_112,Andhra Pradesh,South,Telugu,Telugu
City_113,Punjab,North,Punjabi,Gurmukhi
City_114,Meghalaya,Northeast,Khasi,Latin
City_115,Telangana,South,Telugu,Telugu
City_116,Tripura,Northeast,Bengali,Bengali
City_117,Himachal Pradesh,North,Hindi,Devanagari
City_118,Punjab,North,Punjabi,Gurmukhi
City_119,West Bengal,East,Bengali,Bengali
City_120,West Bengal,East,Bengali,Bengali
City_121,Tamil Nadu,South,Tamil,Tamil
City_122,Uttar Pradesh,North,Hindi,Devanagari
City_123,Assam,Northeast,Assamese,Bengali
City_124,Gujarat,West,Gujarati,Gujarati
City_125,Chhattisgarh,Central,Hindi,Devanagari
City_126,Odisha,East,Odia,Odia
City_127,Gujarat,West,Gujarati,Gujarati
City_128,Odisha,East,Odia,Odia
City_129,Punjab,North,Punjabi,Gurmukhi
City_130,Andhra Pradesh,South,Telugu,Telugu
City_131,Maharashtra,West,Marathi,Devanagari
City_132,Tamil Nadu,South,Tamil,Tamil
City_133,Jharkhand,East,Hindi,Devanagari
City_134,Sikkim,Northeast,Nepali,Devanagari
City_135,Sikkim,Northeast,Nepali,Devanagari
City_136,Meghalaya,Northeast,Khasi,Latin
City_137,Uttar Pradesh,North,Hindi,Devanagari
City_138,West Bengal,East,Bengali,Bengali
City_139,Andhra Pradesh,South,Telugu,Telugu
City_140,Punjab,North,Punjabi,Gurmukhi
City_141,Mizoram,Northeast,Mizo,Latin
City_142,West Bengal,East,Bengali,Bengali
City_143,Tamil Nadu,South,Tamil,Tamil
City_144,West Bengal,East,Bengali,Bengali
City_145,Uttar Pradesh,North,Hindi,Devanagari
City_146,Madhya Pradesh,Central,Hindi,Devanagari
City_147,Rajasthan,North,Hindi,Devanagari
City_148,West Bengal,East,Bengali,Bengali
City_149,Tamil Nadu,South,Tamil,Tamil
City_150,Uttar Pradesh,North,Hindi,Devanagari
City_151,Chhattisgarh,Central,Hindi,Devanagari
City_152,Sikkim,Northeast,Nepali,Devanagari
City_153,Rajasthan,North,Hindi,Devanagari
City_154,Gujarat,West,Gujarati,Gujarati
City_155,Odisha,East,Odia,Odia
City_156,Madhya Pradesh,Central,Hindi,Devanagari
City_157,Madhya Pradesh,Central,Hindi,Devanagari
City_158,Chhattisgarh,Central,Hindi,Devanagari
City_159,Assam,Northeast,Assamese,Bengali
City_160,Bihar,East,Hindi,Devanagari
City_161,Tripura,Northeast,Bengali,Bengali
City_162,Gujarat,West,Gujarati,Gujarati
City_163,Himachal Pradesh,North,Hindi,Devanagari
City_164,Manipur,Northeast,Meitei,Meitei Mayek
City_165,Karnataka,South,Kannada,Kannada
City_166,Uttar Pradesh,North,Hindi,Devanagari
City_167,Sikkim,Northeast,Nepali,Devanagari
City_168,Gujarat,West,Gujarati,Gujarati
City_169,Bihar,East,Hindi,Devanagari
City_170,Madhya Pradesh,Central,Hindi,Devanagari
City_171,Telangana,South,Telugu,Telugu
City_172,Karnataka,South,Kannada,Kannada
City_173,Bihar,East,Hindi,Devanagari
City_174,Gujarat,West,Gujarati,Gujarati
City_175,Tripura,Northeast,Bengali,Bengali
City_176,Mizoram,Northeast,Mizo,Latin
City_177,Maharashtra,West,Marathi,Devanagari
City_178,Assam,Northeast,Assamese,Bengali
City_179,Bihar,East,Hindi,Devanagari
City_180,Goa,West,Konkani,Devanagari
City_181,Nagaland,Northeast,English,Latin
City_182,Kerala,South,Malayalam,Malayalam
City_183,Andhra Pradesh,South,Telugu,Telugu
City_184,Andhra Pradesh,South,Telugu,Telugu
City_185,Manipur,Northeast,Meitei,Meitei Mayek
City_186,Telangana,South,Telugu,Telugu
City_187,Chhattisgarh,Central,Hindi,Devanagari
City_188,Sikkim,Northeast,Nepali,Devanagari
City_189,Goa,West,Konkani,Devanagari
City_190,Gujarat,West,Gujarati,Gujarati
City_191,Tamil Nadu,South,Tamil,Tamil
City_192,Tamil Nadu,South,Tamil,Tamil
City_193,Goa,West,Konkani,Devanagari
City_194,Goa,West,Konkani,Devanagari
City_195,Manipur,Northeast,Meitei,Meitei Mayek
City_196,Bihar,East,Hindi,Devanagari
City_197,Odisha,East,Odia,Odia
City_198,West Bengal,East,Bengali,Bengali
City_199,Gujarat,West,Gujarati,Gujarati
City_200,Kerala,South,Malayalam,Malayalam
City_201,Punjab,North,Punjabi,Gurmukhi
City_202,Odisha,East,Odia,Odia
City_203,Uttar Pradesh,North,Hindi,Devanagari
City_204,Tamil Nadu,South,Tamil,Tamil
City_205,Tripura,Northeast,Bengali,Bengali
City_206,Assam,Northeast,Assamese,Bengali
City_207,Andhra Pradesh,South,Telugu,Telugu
City_208,Meghalaya,Northeast,Khasi,Latin
City_209,Madhya Pradesh,Central,Hindi,Devanagari
City_210,Mizoram,Northeast,Mizo,Latin
City_211,Meghalaya,Northeast,Khasi,Latin
City_212,Odisha,East,Odia,Odia
City_213,Manipur,Northeast,Meitei,Meitei Mayek
City_214,Himachal Pradesh,North,Hindi,Devanagari
City_215,Himachal Pradesh,North,Hindi,Devanagari
City_216,Chhattisgarh,Central,Hindi,Devanagari
City_217,Manipur,Northeast,Meitei,Meitei Mayek
City_218,Andhra Pradesh,South,Telugu,Telugu
City_219,Gujarat,West,Gujarati,Gujarati
City_220,Maharashtra,West,Marathi,Devanagari
City_221,West Bengal,East,Bengali,Bengali
City_222,Himachal Pradesh,North,Hindi,Devanagari
City_223,Uttar Pradesh,North,Hindi,Devanagari
City_224,Himachal Pradesh,North,Hindi,Devanagari
City_225,Meghalaya,Northeast,Khasi,Latin
City_226,Himachal Pradesh,North,Hindi,Devanagari
City_227,Himachal Pradesh,North,Hindi,Devanagari
City_228,Maharashtra,West,Marathi,Devanagari
City_229,Maharashtra,West,Marathi,Devanagari
City_230,Mizoram,Northeast,Mizo,Latin
City_231,Sikkim,Northeast,Nepali,Devanagari
City_232,Uttar Pradesh,North,Hindi,Devanagari
City_233,Tamil Nadu,South,Tamil,Tamil
City_234,Tamil Nadu,South,Tamil,Tamil
City_235,Tripura,Northeast,Bengali,Bengali
City_236,Maharashtra,West,Marathi,Devanagari
City_237,Nagaland,Northeast,English,Latin
City_238,Andhra Pradesh,South,Telugu,Telugu
City_239,Chhattisgarh,Central,Hindi,Devanagari
City_240,Kerala,South,Malayalam,Malayalam
City_241,Sikkim,Northeast,Nepali,Devanagari
City_242,Karnataka,South,Kannada,Kannada
City_243,Sikkim,Northeast,Nepali,Devanagari
City_244,Telangana,South,Telugu,Telugu
City_245,Meghalaya,Northeast,Khasi,Latin
City_246,Himachal Pradesh,North,Hindi,Devanagari
City_247,Kerala,South,Malayalam,Malayalam
City_248,Meghalaya,Northeast,Khasi,Latin
City_249,Uttar Pradesh,North,Hindi,Devanagari
City_250,Manipur,Northeast,Meitei,Meitei Mayek
City_251,Maharashtra,West,Marathi,Devanagari
City_252,Kerala,South,Malayalam,Malayalam
City_253,Mizoram,Northeast,Mizo,Latin
City_254,Telangana,South,Telugu,Telugu
City_255,Jharkhand,East,Hindi,Devanagari
City_256,Jharkhand,East,Hindi,Devanagari
City_257,Tamil Nadu,South,Tamil,Tamil
City_258,Odisha,East,Odia,Odia
City_259,Kerala,South,Malayalam,Malayalam
City_260,Jharkhand,East,Hindi,Devanagari
City_261,West Bengal,East,Bengali,Bengali
City_262,Manipur,Northeast,Meitei,Meitei Mayek
City_263,Karnataka,South,Kannada,Kannada
City_264,Tripura,Northeast,Bengali,Bengali
City_265,Chhattisgarh,Central,Hindi,Devanagari
City_266,West Bengal,East,Bengali,Bengali
City_267,Tripura,Northeast,Bengali,Bengali
City_268,Manipur,Northeast,Meitei,Meitei Mayek
City_269,Gujarat,West,Gujarati,Gujarati
City_270,Manipur,Northeast,Meitei,Meitei Mayek
City_271,Odisha,East,Odia,Odia
City_272,Tamil Nadu,South,Tamil,Tamil
City_273,Punjab,North,Punjabi,Gurmukhi
City_274,Gujarat,West,Gujarati,Gujarati
City_275,Uttarakhand,North,Hindi,Devanagari
City_276,Punjab,North,Punjabi,Gurmukhi
City_277,Tamil Nadu,South,Tamil,Tamil
City_278,Telangana,South,Telugu,Telugu
City_279,Goa,West,Konkani,Devanagari
City_280,Goa,West,Konkani,Devanagari
City_281,Uttarakhand,North,Hindi,Devanagari
City_282,Sikkim,Northeast,Nepali,Devanagari
City_283,Assam,Northeast,Assamese,Bengali
City_284,West Bengal,East,Bengali,Bengali
City_285,Gujarat,West,Gujarati,Gujarati
City_286,Jharkhand,East,Hindi,Devanagari
City_287,Chhattisgarh,Central,Hindi,Devanagari
City_288,Jharkhand,East,Hindi,Devanagari
City_289,Goa,West,Konkani,Devanagari
City_290,Manipur,Northeast,Meitei,Meitei Mayek
City_291,Himachal Pradesh,North,Hindi,Devanagari
City_292,Maharashtra,West,Marathi,Devanagari
City_293,Tamil Nadu,South,Tamil,Tamil
City_294,Jharkhand,East,Hindi,Devanagari
City_295,Andhra Pradesh,South,Telugu,Telugu
City_296,Uttar Pradesh,North,Hindi,Devanagari
City_297,Uttar Pradesh,North,Hindi,Devanagari
City_298,Sikkim,Northeast,Nepali,Devanagari
City_299,Odisha,East,Odia,Odia
City_300,Odisha,East,Odia,Odia
City_301,West Bengal,East,Bengali,Bengali
City_302,Tripura,Northeast,Bengali,Bengali
City_303,Jharkhand,East,Hindi,Devanagari
City_304,Jharkhand,East,Hindi,Devanagari
City_305,West Bengal,East,Bengali,Bengali
City_306,Manipur,Northeast,Meitei,Meitei Mayek
City_307,Meghalaya,Northeast,Khasi,Latin
City_308,Mizoram,Northeast,Mizo,Latin
City_309,Meghalaya,Northeast,Khasi,Latin
City_310,Tamil Nadu,South,Tamil,Tamil
City_311,Meghalaya,Northeast,Khasi,Latin
City_312,Manipur,Northeast,Meitei,Meitei Mayek
City_313,Telangana,South,Telugu,Telugu
City_314,Himachal Pradesh,North,Hindi,Devanagari
City_315,Punjab,North,Punjabi,Gurmukhi
City_316,Karnataka,South,Kannada,Kannada
City_317,Kerala,South,Malayalam,Malayalam
City_318,Punjab,North,Punjabi,Gurmukhi
City_319,Manipur,Northeast,Meitei,Meitei Mayek
City_320,West Bengal,East,Bengali,Bengali
City_321,Jharkhand,East,Hindi,Devanagari
City_322,Goa,West,Konkani,Devanagari
City_323,West Bengal,East,Bengali,Bengali
City_324,Goa,West,Konkani,Devanagari
City_325,Uttarakhand,North,Hindi,Devanagari
City_326,Rajasthan,North,Hindi,Devanagari
City_327,Uttarakhand,North,Hindi,Devanagari
City_328,Maharashtra,West,Marathi,Devanagari
City_329,Mizoram,Northeast,Mizo,Latin
City_330,West Bengal,East,Bengali,Bengali
City_331,Jharkhand,East,Hindi,Devanagari
City_332,Odisha,East,Odia,Odia
City_333,Karnataka,South,Kannada,Kannada
City_334,Tamil Nadu,South,Tamil,Tamil
City_335,Karnataka,South,Kannada,Kannada
City_336,Tamil Nadu,South,Tamil,Tamil
City_337,Rajasthan,North,Hindi,Devanagari
City_338,Nagaland,Northeast,English,Latin
City_339,Jharkhand,East,Hindi,Devanagari
City_340,Manipur,Northeast,Meitei,Meitei Mayek
City_341,Meghalaya,Northeast,Khasi,Latin
City_342,Punjab,North,Punjabi,Gurmukhi
City_343,Gujarat,West,Gujarati,Gujarati
City_344,West Bengal,East,Bengali,Bengali
City_345,Himachal Pradesh,North,Hindi,Devanagari
City_346,Tamil Nadu,South,Tamil,Tamil
City_347,Jharkhand,East,Hindi,Devanagari
City_348,Andhra Pradesh,South,Telugu,Telugu
City_349,Tripura,Northeast,Bengali,Bengali
City_350,Mizoram,Northeast,Mizo,Latin
City_351,Sikkim,Northeast,Nepali,Devanagari
City_352,Mizoram,Northeast,Mizo,Latin
City_353,Rajasthan,North,Hindi,Devanagari
City_354,Kerala,South,Malayalam,Malayalam
City_355,Kerala,South,Malayalam,Malayalam
City_356,Bihar,East,Hindi,Devanagari
City_357,Tripura,Northeast,Bengali,Bengali
City_358,Mizoram,Northeast,Mizo,Latin
City_359,Punjab,North,Punjabi,Gurmukhi
City_360,Maharashtra,West,Marathi,Devanagari
City_361,Nagaland,Northeast,English,Latin
City_362,Tamil Nadu,South,Tamil,Tamil
City_363,Madhya Pradesh,Central,Hindi,Devanagari
City_364,Tamil Nadu,South,Tamil,Tamil
City_365,Uttar Pradesh,North,Hindi,Devanagari
City_366,Jharkhand,East,Hindi,Devanagari
City_367,Tripura,Northeast,Bengali,Bengali
City_368,Karnataka,South,Kannada,Kannada
City_369,West Bengal,East,Bengali,Bengali
City_370,Himachal Pradesh,North,Hindi,Devanagari
City_371,Himachal Pradesh,North,Hindi,Devanagari
City_372,Andhra Pradesh,South,Telugu,Telugu
City_373,Rajasthan,North,Hindi,Devanagari
City_374,Nagaland,Northeast,English,Latin
City_375,Kerala,South,Malayalam,Malayalam
City_376,West Bengal,East,Bengali,Bengali
City_377,Odisha,East,Odia,Odia
City_378,Uttar Pradesh,North,Hindi,Devanagari
City_379,Meghalaya,Northeast,Khasi,Latin
City_380,Himachal Pradesh,North,Hindi,Devanagari
City_381,Rajasthan,North,Hindi,Devanagari
City_382,Nagaland,Northeast,English,Latin
City_383,West Bengal,East,Bengali,Bengali
City_384,Tamil Nadu,South,Tamil,Tamil
City_385,Manipur,Northeast,Meitei,Meitei Mayek
City_386,Nagaland,Northeast,English,Latin
City_387,Sikkim,Northeast,Nepali,Devanagari
City_388,Tamil Nadu,South,Tamil,Tamil
City_389,West Bengal,East,Bengali,Bengali
City_390,Uttarakhand,North,Hindi,Devanagari
City_391,Goa,West,Konkani,Devanagari
City_392,Assam,Northeast,Assamese,Bengali
City_393,Mizoram,Northeast,Mizo,Latin
City_394,Chhattisgarh,Central,Hindi,Devanagari
City_395,West Bengal,East,Bengali,Bengali
City_396,Punjab,North,Punjabi,Gurmukhi
City_397,Rajasthan,North,Hindi,Devanagari
City_398,Meghalaya,Northeast,Khasi,Latin
City_399,Uttarakhand,North,Hindi,Devanagari
City_400,Madhya Pradesh,Central,Hindi,Devanagari
City_401,Mizoram,Northeast,Mizo,Latin
City_402,Sikkim,Northeast,Nepali,Devanagari
City_403,Maharashtra,West,Marathi,Devanagari
City_404,Assam,Northeast,Assamese,Bengali
